id;title;product_url;gender;price_retail;sub_categorie;categorie;age;shape;color;occasion;season
50289;Jacket for boys Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/kurtka-dlya-malchikov-luhta-holodnyj-sinij-70120130003;male;0;bomber;jackets;14_24;column;black;casual;autumn
50294;Jumper for girls from fluffy yarn;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-iz-pushistoj-pryazhi-goluboj-20220310065;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50295;Jumper for girls from fluffy yarn;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-iz-pushistoj-pryazhi-belyj-20220310065;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;beige;casual;autumn
50296;Jumper for girls from fluffy yarn;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-iz-pushistoj-pryazhi-zheltyj-20220310065;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;yellow;casual;autumn
50297;Blouse for girls with ruffles;https://acoolakids.ru/bluzki-dlya-devochek/bluzka-dlya-devochek-s-oborkami-goluboj-20220260021;female;0;blouses;tops;14_24;column;blue;casual;autumn
50298;Dress for girls in goose foot print;https://acoolakids.ru/platya-dlya-devochek/plate-dlya-devochek-v-print-gusinaya-lapka-seryj-20220200286;female;0;knee_length;dresses;14_24;column;grey;creative;autumn
50299;Dress for girls with embroidery;https://acoolakids.ru/platya-dlya-devochek/plate-dlya-devochek-s-vyshivkoj-temno-goluboj-20220200285;female;0;knee_length;dresses;14_24;column;grey;creative;autumn
50300;Dress for girls in a cage;https://acoolakids.ru/platya-dlya-devochek/plate-dlya-devochek-v-kletku-nabivka-20220200284;female;0;knee_length;dresses;14_24;column;grey;creative;autumn
50301;Dress for girls knitted with frill;https://acoolakids.ru/platya-dlya-devochek/plate-dlya-devochek-trikotazhnoe-s-oborkoj-nabivka-20220200280;female;0;knee_length;dresses;14_24;column;orange;casual;autumn
50302;Dress for girls with sequin embroidery;https://acoolakids.ru/platya-dlya-devochek/plate-dlya-devochek-s-vyshivkoj-iz-pajetok-seryj-20220200238;female;0;knee_length;dresses;14_24;column;grey;casual;autumn
50303;Skirt for girls pleated with metallic effect;https://acoolakids.ru/yubki-dlya-devochek/yubka-dlya-devochek-plissirovannaya-s-effektom-metallik-serebryanyj-20220180084;female;0;pencil;skirts;14_24;column;grey;casual;spring
50304;Skirt for girls from jacquard mesh;https://acoolakids.ru/yubki-dlya-devochek/yubka-dlya-devochek-iz-zhakkardovoj-setki-assorti-20220180083;female;0;pencil;skirts;14_24;column;blue;casual;spring
50305;Skirt for girls flared;https://acoolakids.ru/yubki-dlya-devochek/yubka-dlya-devochek-raskleshennaya-cvetnoj-20220180082;female;0;pencil;skirts;14_24;column;blue;casual;autumn
50306;Denim skirt for girls with a contrast print;https://acoolakids.ru/yubki-dlya-devochek/dzhinsovaya-yubka-dlya-devochek-s-kontrastnym-printom-goluboj-20220180080;female;0;pencil;skirts;14_24;column;blue;casual;autumn
50307;Pants for girls from knitwear in print goose foot;https://acoolakids.ru/bryuki-dlya-devochek/bryuki-dlya-devochek-iz-trikotazha-v-print-gusinaya-lapka-chernyj-print-20220160177;female;0;straight_leg;trousers;14_24;column;grey;casual;autumn
50308;Pants for girls sports;https://acoolakids.ru/bryuki-dlya-devochek/bryuki-dlya-devochek-sportivnye-krasnyj-20220160176;female;0;straight_leg;trousers;14_24;column;red;casual;autumn
50309;Pants for girls sports;https://acoolakids.ru/bryuki-dlya-devochek/bryuki-dlya-devochek-sportivnye-seryj-20220160176;female;0;straight_leg;trousers;14_24;column;blue;casual;autumn
50310;Denim pants for girls with scuffs;https://acoolakids.ru/dzhinsy-dlya-devochek/dzhinsovye-bryuki-dlya-devochek-s-potertostyami-temno-goluboj-20220160174;female;0;skinny_leg;jeans;14_24;column;blue;casual;autumn
50311;Marble effect girls denim pants;https://acoolakids.ru/dzhinsy-dlya-devochek/dzhinsovye-bryuki-dlya-devochek-s-mramornym-effektom-sinij-20220160174;female;0;skinny_leg;jeans;14_24;column;blue;casual;autumn
